"決算期","売上高","営業利益","経常利益","当期利益","EPS","BPS"
"2008/03","1216572","856975","359597","299074","29.5","699.9"
"2009/03","1190371","833124","357247","316420","","612.8"
"2010/03","1170876","785578","385298","321264","17.4","631.5"
"2011/03","1207695","804717","402978","333604","31.8","636.6"
"2012/03","1197313","793525","403788","331203","43.7","634.4"
"2013/03","1172442","788105","384337","313104","50.6","665.5"
"2014/03","991332","635594","355738","293190","44.7","627.4"
"2015/03","1006630","659509","347121","272601","48.6","701.5"
"2016/03 I","129311","-58745","-2820","204487","",""
"2017/03 I","1091195","704177","387018","303399","55.5","645.0"
"2018/03 I","1150209","752779","397430","314109","63.5","672.0"
"2019/03 I","1127483","731905","395578","342429","31.1","639.6"
"2020/03 I","1100039","696166","403873","355098","19.7","564.6"
"2021/03 I","1071453","665234","406219","305096","62.1","649.8"
"2022/03 I","1149370","723473","425897","301325","79.2","719.6"
"2023/03 I","1359115","888728","470387","321459","98.4","805.3"
"2024/03 I","1439231","927783","511448","364765","91.1","853.5"
"2025/03 I","1530556","979792","550764","436794","73.5","782.4"
"2026/03 I","1583719","986571","597148","397734","140.8","807.5"
"2026/06 I New","75764","-67911","-5504","81486","",""
