"決算期","売上高","営業利益","経常利益","当期利益","EPS","BPS"
"2007/03 S","274630","-155599","-88734","342640","",""
"2008/03 S","4049818","2957185","1092633","825428","77.2","503.9"
"2009/03 S","3665119","2710976","954143","814415","6.0","415.0"
"2010/03 S","3353298","2505095","848203","753901","13.8","471.3"
"2011/03 S","3645331","2622959","1022372","788611","60.9","513.1"
"2012/03 S","3639468","2628964","1010504","785060","54.8","553.3"
"2013/03 S","3567184","2604360","962824","810729","34.0","635.2"
"2014/03 S","4054359","2914589","1139770","904598","75.0","744.7"
"2015/03 S","4323041","3032161","1290880","973276","114.7","900.0"
"2016/03 S","4394353","3071435","1322918","1021746","111.7","898.3"
"2017/03 S","4238666","2950729","1287937","1017833","102.9","996.5"
"2018/03 I","265768","-182015","-149813","599199","",""
"2018/03 S","4264559","2606493","599199","1098927","1658066","740448"
"2019/03 I","4519921","3186869","1333052","1042575","110.8","1172.5"
"2020/03 I","4462509","3200170","1262339","1002678","108.4","1187.1"
"2021/03 I","4191433","3017059","1174374","944179","94.4","1345.6"
"2022/03 I","4476758","3212216","1264542","1012491","99.4","1453.9"
"2023/03 I","5003694","3596781","1406913","1144561","104.5","1582.4"
"2024/03 I","5257914","3712065","1545849","1217324","139.2","1826.8"
"2025/03 I","5521711","3829496","1692215","1300365","158.4","1929.6"
"2026/03 I","5894747","4005249","1889498","1456403","199.2","2190.8"
