"決算期","売上高","営業利益","経常利益","当期利益","EPS","BPS"
"2017/03","9639","219","9858","3.0","",""
"2018/03","327600","92533","235067","66413","59.8","1033.1"
"2019/03","306494","89904","216590","54285","48.8","1038.9"
"2020/03","306236","90358","215878","46536","41.9","988.2"
"2021/03","291729","89798","201931","25326","22.8","1037.3"
"2022/03","286979","65651","221328","53881","48.5","1042.2"
"2023/03","312983","96547","216436","56159","50.5","1039.4"
"2024/03","358303","134773","223530","66931","60.2","1150.3"
"2025/03","399103","138792","260311","82805","74.5","1158.4"
"2026/03","490724","183588","307136","106523","95.8","1262.9"
"2026/06 New","1006035","79458","-64149","3142979","",""
