"決算期","売上高","営業利益","経常利益","当期利益","EPS","BPS"
"2007/03","23644","-8518","-8874","33990","",""
"2008/03","279816","208266","71550","56922","24.2","649.6"
"2009/03","219049","169392","49657","54167","","366.9"
"2010/03","164128","137826","26302","40348","","341.3"
"2011/03","254952","182990","71962","45151","135.8","460.4"
"2012/03","250089","187324","62765","49266","24.5","476.2"
"2013/03","189923","150072","39851","46838","","426.2"
"2014/03","235946","177175","58771","49868","28.7","457.1"
"2015/03","237645","165191","72454","55286","64.1","586.2"
"2016/03","259675","178677","80998","57440","99.5","632.6"
"2017/03","300233","206686","93547","59815","127.8","755.1"
"2018/03","339368","229837","109531","66806","150.7","903.3"
"2019/03","364234","263668","100566","70921","95.5","947.0"
"2020/03","323249","246681","76568","64007","26.5","919.7"
"2021/03","320322","232310","88012","63519","80.2","1101.8"
"2022/03","411865","277498","134367","73094","240.5","1309.8"
"2023/03","460834","305786","155048","78596","304.0","1585.6"
"2024/03","504916","322399","182517","88353","373.2","1966.2"
"2025/03","625269","389971","235298","99614","526.0","2224.1"
"2026/03","605748","372574","233174","110652","486.5","2572.7"
