"決算期","売上高","営業利益","経常利益","当期利益","EPS","BPS"
"2012/03","730069","-650831","-16113","564387","",""
"2013/03","487703","-192153","-17138","848717","",""
"2014/03","6044955","5740205","304750","77931","21.6","540.6"
"2015/03","7252242","6845400","406842","142476","39.6","996.6"
"2016/03","7333947","6915780","418167","178515","49.6","814.1"
"2017/03","6456796","6031476","425320","231286","64.2","870.8"
"2018/03","7037827","6565833","471994","363928","101.1","1040.7"
"2019/03","7184093","6751148","432945","225035","62.5","1030.8"
"2020/03","7114099","6895718","218381","32433","9.0","1048.4"
"2021/03","7827806","7274945","552861","363777","101.0","1334.5"
"2022/03","8209708","7618811","590897","409353","113.7","1223.9"
"2023/03","9519445","9108545","410900","192301","53.4","797.6"
"2024/03","11028166","10489160","539006","320765","89.1","1077.9"
"2025/03","9873251","9154178","719073","429613","119.3","963.4"
"2026/03","11308275","10554587","753688","436597","121.2","1181.2"
"2026/06 New","781539","-842218","126282","501904","",""
