"決算期","売上高","営業利益","経常利益","当期利益","EPS","BPS"
"2008/03","19212","10520","8692","4275","29.0","196.3"
"2009/03","16165","9706","6459","4032","16.0","178.8"
"2010/03","12056","7527","4530","3458","5.3","195.1"
"2011/03","22001","12071","9930","4082","31.2","233.8"
"2012/03","20159","11862","8297","3964","22.6","239.9"
"2013/03","18130","10763","7368","3932","20.7","263.7"
"2014/03","21083","11966","9118","4450","31.6","309.8"
"2015/03","25951","13829","12122","5055","51.1","382.9"
"2016/03","28278","14992","13286","5668","52.8","392.1"
"2017/03","30069","16202","13867","6053","208.4","581.0"
"2018/03","54339","28636","25703","13387","85.1","1052.8"
"2019/03","67809","37363","30446","13822","122.6","1100.6"
"2020/03","37487","25484","12003","12199","","1029.0"
"2021/03","37034","24451","12583","11717","7.0","1086.8"
"2022/03","57087","34662","22426","13686","70.2","1044.3"
"2023/03","71527","45741","25786","15561","80.2","1098.1"
"2024/03","55796","40190","15606","15482","","838.7"
"2025/03","55645","40792","14854","14847","36.7","833.9"
"2026/03","59557","41424","18133","15566","17.0","849.2"
"2026/06 New","3025","-684","-2762","4774","",""
