"決算期","売上高","営業利益","経常利益","当期利益","EPS","BPS"
"2007/03","408765","-151083","-234953","448705","",""
"2008/03","5330865","3959561","1371304","1166315","27.7","652.1"
"2009/03","4692991","3491512","1201479","1132707","","430.9"
"2010/03","4679519","3436412","1243107","1148734","53.7","459.6"
"2011/03","4528405","3270923","1257482","1124888","31.8","474.2"
"2012/03","4467574","3232146","1235428","1130124","24.6","485.6"
"2013/03","4381728","3177962","1203766","1108488","","450.4"
"2014/03","4762445","3493246","1269199","1126632","28.0","330.4"
"2015/03 I","280149","-200516","-17327","362028","",""
"2016/03 I","4739294","3487830","1251464","1130852","50.0","451.2"
"2017/03 I","4509694","3292690","1217004","1088143","51.0","508.0"
"2018/03 I","4098379","2966583","1131796","949307","97.6","627.1"
"2019/03 I","3952437","2879884","1072553","942326","60.3","652.6"
"2020/03 I","3857797","2748479","1109318","897835","92.3","715.3"
"2021/03 I","3589702","2509454","1080248","813924","116.8","835.9"
"2022/03 I","3586839","2468188","1118651","899450","105.3","917.0"
"2023/03 I","3713767","2569685","1144082","808468","124.0","914.7"
"2024/03 I","3756059","2591250","1164809","1004549","146.7","1010.2"
"2025/03 I","3550116","2382138","1167978","902889","126.7","1003.6"
"2026/03 I","3502971","2256104","1246867","898538","259.1","1167.3"
