"決算期","売上高","営業利益","経常利益","当期利益","EPS","BPS"
"2007/03","14990","-6119","-8960","13214","",""
"2008/03","382327","271726","110601","74113","78.0","410.3"
"2009/03","350249","258541","91708","70901","26.6","374.6"
"2010/03","224710","173807","50903","57880","","341.0"
"2011/03","296847","219815","77032","64157","25.2","359.1"
"2012/03","307111","227540","79571","64752","32.5","386.3"
"2013/03","310383","228275","82108","69037","26.2","432.7"
"2014/03","363570","255431","108139","82436","65.4","516.9"
"2015/03","400153","273263","126890","95357","95.7","660.8"
"2016/03","411260","277113","134147","97417","86.2","698.9"
"2017/03","394883","270865","124018","93609","78.6","765.4"
"2018/02 変","448523","294349","154174","100048","153.3","909.4"
"2019/02","455957","306130","39320","136201","149826","80142"
"2019/02 I","34347","-27111","-10268","39289","",""
"2020/02 I","410957","286461","124496","100298","60.0","880.5"
"2021/02 I","389712","273342","116370","89189","73.0","949.5"
"2022/02 I","479082","310438","168644","115784","147.9","1122.9"
"2023/02 I","555955","363949","192006","123705","199.7","1339.8"
"2024/02 I","575658","366558","209100","142875","195.4","1539.7"
"2025/02 I","537682","346201","191481","141324","219.7","1662.5"
"2026/02 I","542122","350886","191236","143928","135.9","1864.3"
