"決算期","売上高","営業利益","経常利益","当期利益","EPS","BPS"
"2008/12","1003876","888462","115414","88622","13.5","1268.7"
"2009/12","678204","597766","80438","85420","","1289.0"
"2010/12","797189","670261","126928","88206","70.1","1272.8"
"2011/12","854158","719322","134836","87479","93.6","1330.7"
"2012/12","739675","628492","111183","83076","51.7","1438.7"
"2013/12","847803","738749","109054","83101","50.0","1588.9"
"2014/12","872785","764153","108632","88081","16.2","1580.4"
"2015/12","775732","653924","121808","88299","5.1","1564.1"
"2016/12","671159","544995","126164","84111","67.9","1564.4"
"2017/12","780387","602778","177609","99791","184.6","1838.2"
"2018/12","992136","705003","287133","107130","614.8","2352.5"
"2019/12","906454","671157","235297","114499","403.0","2634.2"
"2020/12","973700","814378","159322","178771","","2141.4"
"2021/12","1419635","1081641","337994","250796","","2711.3"
"2022/12","1392621","1089638","302983","243611","169.8","2902.6"
"2023/12","2031953","751922","190318","266122","1280031","678586"
"2023/12 I","118715","-55158","-73086","190642","",""
"2024/12 I","1391480","1080381","311099","222063","405.3","3505.8"
"2025/12 I","1347125","1023323","323802","277126","160.1","3686.4"
"2026/06 I New","67322","-69653","-20552","31887","",""
